id,gender,role,language_english,duration_in_days,publications,organic_tweets,follower_global,followees_global,follower_researcher,follower_researcher_phd,follower_researcher_prof,follower_researcher_male,follower_researcher_female,follower_researcher_male_phd,follower_researcher_male_prof,follower_researcher_female_phd,follower_researcher_female_prof,follower_reciprocal_researcher,follower_reciprocal_researcher_phd,follower_reciprocal_researcher_prof,follower_reciprocal_researcher_male,follower_reciprocal_researcher_female,follower_reciprocal_researcher_male_phd,follower_reciprocal_researcher_male_prof,follower_reciprocal_researcher_female_phd,follower_reciprocal_researcher_female_prof,location_exists,has_url,url_has_tilde,url_has_academic_domain,has_description,description_has_pattern,language,default_profile_image,nof_tweets,nof_followers,nof_friends,friend_follower_ratio,nof_self_tweets,nof_retweets,retweet_tweet_ratio,nof_tweets_with_url,fraction_of_tweets_with_url,nof_conf_hashtags,nof_distinct_hashtags,nof_overall_hashtags,fraction_of_distinct_hashtags,nof_conf_mentions
29959205,NA    ,NA       ,1,1727,1,6,263,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,617,263,838,3.1862,577,39,0.0633,94,0.1526,3,28,37,0.7568,1
30041135,male  ,NA       ,1,1727,1,7,81,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,225,81,142,1.7529,220,5,0.0222,40,0.1778,16,73,79,0.9241,0
30064249,male  ,NA       ,1,1727,3,40,116,203,5,1,0,4,0,0,0,0,0,3,0,0,3,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,True ,FALSE,269,116,203,1.7498,206,62,0.2313,78,0.291,49,100,179,0.5587,1
30090044,male  ,NA       ,1,1727,4,87,129,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True ,FALSE,FALSE,FALSE,True ,FALSE,True ,FALSE,1471,129,407,3.1548,1458,12,0.0082,132,0.0898,15,223,287,0.777,3
30093506,male  ,NA       ,1,1727,1,55,273,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True ,FALSE,FALSE,FALSE,True ,FALSE,True ,FALSE,862,273,510,1.8681,767,95,0.1102,70,0.0812,38,81,132,0.6136,5
30093904,male  ,NA       ,1,1727,8,33,83,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,135,83,236,2.843,82,53,0.3926,37,0.2741,19,39,69,0.5652,4
30158202,male  ,NA       ,1,1726,12,0,59,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True ,FALSE,FALSE,FALSE,True ,FALSE,True ,FALSE,49,59,642,10.8795,23,24,0.5106,9,0.1915,6,11,11,1,0
30174420,NA    ,NA       ,1,1726,17,1,79,424,14,2,4,6,3,2,2,0,1,12,2,3,5,2,2,1,0,1,True ,FALSE,FALSE,FALSE,True ,True ,True ,FALSE,202,79,424,5.3664,150,50,0.25,12,0.06,14,37,50,0.74,2
30189165,male  ,NA       ,1,1726,18,328,418,366,21,4,2,7,9,2,1,1,0,10,1,0,3,4,0,0,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,2751,418,366,0.8756,1955,828,0.2975,844,0.3033,430,519,1235,0.4202,9
30190900,NA    ,NA       ,1,1726,1,132,407,1094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True ,FALSE,FALSE,FALSE,True ,FALSE,True ,FALSE,3209,407,1094,2.6879,3080,114,0.0357,268,0.0839,76,383,672,0.5699,7
30198750,male  ,NA       ,1,1726,77,9,110,146,15,0,1,8,0,0,0,0,0,6,0,1,3,0,0,0,0,0,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,54,110,146,1.3272,27,27,0.5,23,0.4259,11,16,41,0.3902,0
30239418,female,NA       ,1,1726,67,7,209,257,50,3,9,20,3,1,6,0,0,39,3,9,17,3,1,6,0,0,True ,True ,True ,True ,True ,True ,True ,FALSE,112,209,257,1.2296,68,28,0.2917,28,0.2917,23,24,55,0.4364,2
30276248,male  ,NA       ,1,1726,13,623,543,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,17909,543,502,0.9245,2693,499,0.1563,759,0.2378,43,534,697,0.7661,4
30302607,NA    ,NA       ,0,1726,37,186,64,121,17,3,4,11,1,1,2,0,0,12,1,4,7,1,0,2,0,0,True ,True ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,412,64,121,1.8903,346,77,0.182,169,0.3995,72,171,266,0.6429,4
30330817,NA    ,NA       ,1,1726,3,0,79,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True ,True ,True ,True ,FALSE,FALSE,True ,FALSE,0,79,16,0.2025,NA  ,NA  ,NA    ,NA  ,NA    ,NA   ,NA  ,NA   ,NA    ,NA
30339571,male  ,NA       ,1,1726,51,259,588,119,146,26,10,69,13,13,4,1,1,45,3,4,24,3,3,1,0,0,True ,FALSE,FALSE,FALSE,True ,FALSE,True ,FALSE,2491,588,119,0.2024,1591,907,0.3631,417,0.1669,451,394,958,0.4113,15
30374254,male  ,professor,1,1725,2,7,45,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True ,True ,True ,True ,True ,True ,True ,FALSE,73,45,85,1.8885,64,10,0.1351,7,0.0946,0,7,7,1,0
30406622,NA    ,NA       ,1,1725,26,0,44,43,6,1,0,1,1,0,0,1,0,3,1,0,0,1,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,True ,True ,4,44,43,0.9771,4,0,0,0,0,0,1,1,1,0
30416019,NA    ,NA       ,1,1725,113,1,69,86,5,2,0,0,3,0,0,2,0,5,2,0,0,3,0,0,2,0,True ,True ,True ,True ,FALSE,FALSE,True ,FALSE,87,69,86,1.2462,66,21,0.2414,7,0.0805,5,8,9,0.8889,1
30429590,male  ,NA       ,1,1725,1,711,2197,1886,13,1,2,8,2,1,1,0,0,7,1,2,5,0,1,1,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,4697,2197,1886,0.8584,1779,1411,0.4423,1332,0.4176,181,480,744,0.6452,8
30432342,NA    ,NA       ,1,1725,4,221,33,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True ,FALSE,FALSE,FALSE,True ,FALSE,True ,FALSE,669,33,236,7.1493,467,202,0.3019,214,0.3199,42,133,194,0.6856,7
30443668,male  ,NA       ,1,1725,30,0,44,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,True ,FALSE,50,44,59,1.3406,42,6,0.125,1,0.0208,0,14,14,1,0
30480695,female,NA       ,1,1725,5,143,221,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,True ,True ,True ,FALSE,990,221,659,2.9818,442,544,0.5517,772,0.783,187,400,700,0.5714,7
30523023,female,phd      ,1,1725,2,133,110,234,4,2,0,3,0,2,0,0,0,4,2,0,3,0,2,0,0,0,True ,FALSE,FALSE,FALSE,True ,True ,True ,FALSE,378,110,234,2.1271,286,111,0.2796,141,0.3552,40,81,125,0.648,1
30535422,NA    ,NA       ,1,1725,2,3,36,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,52,36,59,1.6384,44,8,0.1538,4,0.0769,6,17,23,0.7391,0
30587942,female,NA       ,1,1724,2,4,143,257,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,167,143,257,1.7971,85,81,0.488,61,0.3675,37,47,79,0.5949,0
30601402,male  ,NA       ,1,1724,5,5,3,61,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True ,FALSE,FALSE,FALSE,FALSE,FALSE,True ,FALSE,15,3,61,20.2658,13,6,0.3158,6,0.3158,1,8,8,1,0
30630902,female,NA       ,1,1724,7,2,24,28,3,1,0,1,1,0,0,0,0,3,1,0,1,1,0,0,0,0,FALSE,FALSE,FALSE,FALSE,True ,FALSE,True ,True ,12,24,28,1.1662,12,0,0,1,0.0833,0,3,3,1,0
30646307,male  ,professor,1,1724,196,17,66,11,7,1,1,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,True ,FALSE,FALSE,True ,True ,True ,FALSE,20,66,11,0.1666,20,0,0,14,0.7,0,4,4,1,0
30679931,NA    ,phd      ,1,1724,6,261,189,353,3,0,1,2,0,0,1,0,0,3,0,1,2,0,0,1,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,2200,189,353,1.8676,1637,560,0.2549,872,0.3969,114,217,324,0.6698,4
30680876,NA    ,phd      ,1,1724,1,185,152,351,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,502,152,351,2.3091,445,56,0.1118,422,0.8423,15,72,79,0.9114,1
30681095,NA    ,NA       ,1,1724,2,14,36,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,True ,FALSE,224,36,15,0.4166,37,193,0.8391,107,0.4652,115,119,273,0.4359,2
30708139,female,NA       ,1,1724,2,217,145,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True ,FALSE,FALSE,FALSE,True ,FALSE,True ,FALSE,1107,145,318,2.193,1071,38,0.0343,8,0.0072,11,596,778,0.7661,0
30721392,NA    ,NA       ,1,1724,1,153,386,591,4,1,1,4,0,1,1,0,0,4,1,1,4,0,1,1,0,0,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,2785,386,591,1.531,1568,1202,0.4339,757,0.2733,454,428,1114,0.3842,11
30729612,NA    ,professor,1,1724,97,28,1022,441,186,25,36,114,13,15,27,1,2,81,6,22,58,5,4,18,0,2,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,2042,1022,441,0.4315,1804,237,0.1161,86,0.0421,191,258,765,0.3373,3
30762079,female,NA       ,1,1723,6,183,229,335,29,5,6,8,12,4,2,1,1,22,2,5,5,10,2,2,0,1,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,915,229,335,1.4628,774,143,0.1559,452,0.4929,146,256,499,0.513,3
30785970,male  ,NA       ,1,1723,1,51,179,685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True ,FALSE,FALSE,FALSE,FALSE,FALSE,True ,FALSE,276,179,685,3.8266,264,22,0.0769,134,0.4685,3,21,24,0.875,1
30825039,NA    ,NA       ,1,1723,4,34,60,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True ,FALSE,FALSE,FALSE,FALSE,FALSE,True ,FALSE,107,60,272,4.5326,81,26,0.243,75,0.7009,32,88,104,0.8462,2
30841465,male  ,NA       ,1,1723,97,2580,5122,2362,194,25,34,106,15,11,21,2,1,80,3,15,52,1,2,11,0,0,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,21360,5122,2362,0.4611,2879,321,0.1003,2303,0.7197,386,669,1101,0.6076,11
30902397,male  ,NA       ,1,1723,9,6,19,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,True ,FALSE,13,19,15,0.7891,12,1,0.0769,2,0.1538,6,2,10,0.2,0
30933063,male  ,NA       ,1,1723,2,174,335,1056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True ,FALSE,FALSE,FALSE,True ,FALSE,True ,FALSE,4282,335,1056,3.1521,2605,573,0.1803,529,0.1665,112,368,1006,0.3658,6
30936385,male  ,NA       ,1,1723,1,103,3657,133,27,0,0,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,784,3657,133,0.0364,761,32,0.0404,150,0.1892,42,48,84,0.5714,3
30945777,female,NA       ,1,1723,17,41,101,175,19,4,0,9,3,2,0,1,0,9,2,0,7,1,1,0,1,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,441,101,175,1.7325,262,181,0.4086,129,0.2912,143,174,333,0.5225,3
30953437,male  ,NA       ,0,1723,2,125,54,44,8,0,2,6,0,0,1,0,0,8,0,2,6,0,0,1,0,0,True ,True ,FALSE,FALSE,True ,True ,FALSE,FALSE,1882,54,44,0.8147,1801,86,0.0456,249,0.132,9,27,29,0.931,2
30959120,NA    ,NA       ,1,1723,1,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,True ,True ,1,4,6,1.4963,1,0,0,0,0,0,0,0,0,0
30970133,NA    ,phd      ,1,1723,1,3,156,707,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,248,156,707,4.5318,94,146,0.6083,59,0.2458,1,49,59,0.8305,1
30987011,NA    ,NA       ,1,1723,74,53,187,112,39,10,3,18,0,3,3,0,0,9,0,1,6,0,0,1,0,0,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,472,187,112,0.5989,252,225,0.4717,252,0.5283,38,44,55,0.8,8
31086475,male  ,NA       ,0,1722,1,371,434,241,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,True ,True ,FALSE,FALSE,True ,FALSE,FALSE,FALSE,10399,434,241,0.5553,2939,256,0.0801,863,0.2701,66,69,135,0.5111,1
31093488,male  ,NA       ,1,1722,19,52,224,104,24,4,5,16,0,2,5,0,0,15,0,5,11,0,0,5,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,567,224,104,0.4643,383,189,0.3304,176,0.3077,40,125,198,0.6313,1
31118716,female,NA       ,1,1722,4,29,67,361,2,0,0,1,1,0,0,0,0,2,0,0,1,1,0,0,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,1188,67,361,5.3873,850,324,0.276,83,0.0707,25,131,153,0.8562,1
31129966,male  ,professor,1,1722,2,513,244,740,2,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,True ,FALSE,FALSE,FALSE,True ,True ,True ,FALSE,5238,244,740,3.0327,2838,357,0.1117,1431,0.4479,25,140,204,0.6863,7
31160347,NA    ,NA       ,1,1722,26,393,494,565,5,2,0,0,1,0,0,0,0,3,2,0,0,1,0,0,0,0,True ,FALSE,FALSE,FALSE,True ,FALSE,True ,FALSE,16615,494,565,1.1437,589,2461,0.8069,912,0.299,15,96,116,0.8276,7
31187975,male  ,NA       ,1,1722,2,638,464,1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True ,FALSE,FALSE,FALSE,True ,True ,True ,FALSE,2046,464,1407,3.0323,1923,146,0.0706,379,0.1832,4,90,123,0.7317,0
31206141,NA    ,NA       ,1,1722,5,2,83,130,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,143,83,130,1.5661,125,19,0.1319,10,0.0694,1,8,9,0.8889,0
31206990,male  ,NA       ,1,1722,3,66,137,499,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,617,137,499,3.6421,521,98,0.1583,73,0.1179,51,203,371,0.5472,2
31286402,male  ,NA       ,1,1721,1,25,461,205,11,2,1,7,0,1,1,0,0,8,2,1,5,0,1,1,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,4018,461,205,0.4447,3161,36,0.0113,204,0.0638,422,821,1600,0.5131,2
31301415,male  ,NA       ,1,1721,2,89,256,644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True ,FALSE,FALSE,FALSE,True ,True ,True ,FALSE,988,256,644,2.5155,826,161,0.1631,393,0.3982,32,113,147,0.7687,6
31348613,female,phd      ,1,1721,4,284,175,209,11,1,2,5,4,0,1,0,1,7,0,2,4,3,0,1,0,1,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,688,175,209,1.1942,464,224,0.3256,147,0.2137,229,302,751,0.4021,7
31377611,female,NA       ,1,1721,1,1100,779,387,3,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,12440,779,387,0.4968,2977,215,0.0674,470,0.1472,9,102,146,0.6986,3
31385970,NA    ,NA       ,1,1721,2,28,30,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True ,FALSE,FALSE,FALSE,FALSE,FALSE,True ,FALSE,172,30,141,4.6984,89,82,0.4795,75,0.4386,8,27,29,0.931,1
31388960,NA    ,phd      ,1,1721,2,12,75,108,12,4,1,5,4,2,0,1,1,9,2,1,4,3,1,0,0,1,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,120,75,108,1.4398,55,65,0.5417,81,0.675,145,86,193,0.4456,3
31404482,male  ,phd      ,1,1721,5,70,393,478,6,1,0,3,1,0,0,0,0,5,1,0,2,1,0,0,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,965,393,478,1.2163,638,326,0.3382,675,0.7002,79,248,418,0.5933,7
31419771,female,NA       ,1,1721,34,615,1729,439,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,5505,1729,439,0.2539,2615,581,0.1818,1131,0.3539,37,446,696,0.6408,7
31426124,male  ,NA       ,1,1721,3,98,320,264,4,0,0,3,0,0,0,0,0,2,0,0,2,0,0,0,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,1280,320,264,0.825,1181,103,0.0802,345,0.2687,91,234,333,0.7027,2
31448771,NA    ,NA       ,1,1721,1,0,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True ,FALSE,FALSE,FALSE,FALSE,FALSE,True ,FALSE,0,17,10,0.5879,NA  ,NA  ,NA    ,NA  ,NA    ,NA   ,NA  ,NA   ,NA    ,NA
31489058,NA    ,NA       ,1,1721,3,14,117,191,6,0,2,4,1,0,1,0,0,6,0,2,4,1,0,1,0,0,True ,FALSE,FALSE,FALSE,True ,True ,True ,FALSE,126,117,191,1.6323,108,19,0.1496,25,0.1969,37,73,118,0.6186,0
31499727,male  ,NA       ,1,1721,1,15,151,356,18,2,0,11,2,0,0,1,0,17,1,0,11,2,0,0,1,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,87,151,356,2.3575,85,2,0.023,25,0.2874,63,36,95,0.3789,1
31500648,male  ,NA       ,0,1721,155,2,38,133,3,0,1,2,0,0,1,0,0,3,0,1,2,0,0,1,0,0,True ,True ,True ,FALSE,FALSE,FALSE,FALSE,FALSE,45,38,133,3.4991,29,17,0.3696,27,0.587,0,8,16,0.5,1
31506942,male  ,NA       ,1,1721,2,137,697,1585,6,0,0,5,1,0,0,0,0,3,0,0,3,0,0,0,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,761,697,1585,2.274,679,86,0.1124,137,0.1791,24,86,118,0.7288,1
31522779,male  ,NA       ,1,1721,1,57,872,223,30,1,1,21,0,1,1,0,0,13,0,0,11,0,0,0,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,648,872,223,0.2557,504,149,0.2282,345,0.5283,39,29,62,0.4677,2
31571721,NA    ,professor,1,1720,65,8,84,203,19,5,8,8,2,0,5,1,1,5,1,3,3,2,0,2,1,1,True ,True ,True ,True ,True ,True ,True ,FALSE,45,84,203,2.4164,34,11,0.2444,30,0.6667,2,7,7,1,1
31597296,NA    ,phd      ,1,1720,9,191,248,379,16,2,4,4,1,2,2,0,0,11,1,4,3,0,1,2,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,874,248,379,1.5282,604,267,0.3065,553,0.6349,39,107,126,0.8492,7
31602560,male  ,professor,1,1720,1,387,667,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,1721,667,547,0.8201,1337,431,0.2438,380,0.2149,249,460,1098,0.4189,2
31608279,female,NA       ,1,1720,2,67,226,53,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,353,226,53,0.2345,322,32,0.0904,197,0.5565,162,52,225,0.2311,2
31638770,NA    ,NA       ,0,1720,2,2440,218,347,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,True ,True ,FALSE,FALSE,True ,FALSE,FALSE,FALSE,55404,218,347,1.5917,2807,386,0.1209,2172,0.6802,9,88,726,0.1212,1
31641498,NA    ,NA       ,1,1720,30,0,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True ,True ,FALSE,FALSE,FALSE,FALSE,True ,FALSE,0,7,23,3.281,NA  ,NA  ,NA    ,NA  ,NA    ,NA   ,NA  ,NA   ,NA    ,NA
31696994,male  ,NA       ,0,1720,2,16,88,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,True ,FALSE,FALSE,True ,FALSE,FALSE,FALSE,666,88,85,0.9658,539,129,0.1931,173,0.259,40,75,174,0.431,4
31699685,NA    ,NA       ,1,1720,1,62,169,307,17,2,1,13,2,2,1,0,0,14,2,1,11,2,2,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,True ,FALSE,584,169,307,1.8165,538,47,0.0803,151,0.2581,42,98,190,0.5158,0
31721065,NA    ,NA       ,1,1720,2,4,15,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,True ,FALSE,20,15,211,14.0573,15,5,0.25,14,0.7,1,3,3,1,0
31732300,NA    ,NA       ,1,1720,22,77,381,406,5,1,0,2,1,1,0,0,0,5,1,0,2,1,1,0,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,957,381,406,1.0656,820,133,0.1396,216,0.2267,90,156,243,0.642,4
31954347,NA    ,NA       ,1,1720,13,5,261,224,27,2,8,16,3,1,6,0,0,21,2,7,12,2,1,5,0,0,True ,True ,True ,FALSE,FALSE,FALSE,True ,FALSE,846,261,224,0.8582,717,126,0.1495,73,0.0866,48,147,234,0.6282,2
32159825,female,NA       ,1,1720,4,161,58,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True ,FALSE,FALSE,FALSE,True ,True ,True ,FALSE,650,58,195,3.3615,580,69,0.1063,254,0.3914,17,98,173,0.5665,1
32199673,NA    ,NA       ,1,1720,34,482,619,932,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,4774,619,932,1.5056,3036,160,0.0501,726,0.2272,115,249,699,0.3562,4
32205715,female,NA       ,1,1720,1,9,15,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,True ,FALSE,18,15,230,15.3231,15,2,0.1176,2,0.1176,0,3,4,0.75,0
32208973,NA    ,NA       ,1,1720,8,1,41,39,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,True ,True ,4,41,39,0.951,4,0,0,0,0,1,1,1,1,0
32306565,male  ,NA       ,1,1719,1,1,8,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,True ,FALSE,6,8,72,8.9888,6,0,0,3,0.5,0,1,1,1,0
32324777,female,NA       ,1,1719,1,13,91,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True ,FALSE,FALSE,FALSE,True ,True ,True ,FALSE,365,91,169,1.8569,351,15,0.041,12,0.0328,22,87,115,0.7565,0
32331239,male  ,NA       ,1,1719,41,1,191,54,80,23,12,42,15,11,7,5,2,15,2,3,10,2,2,1,0,1,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,41,191,54,0.2827,36,5,0.122,4,0.0976,6,9,10,0.9,0
32341263,NA    ,NA       ,1,1719,1,49,88,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,True ,True ,True ,FALSE,125,88,414,4.704,125,0,0,20,0.16,1,31,36,0.8611,0
32347444,male  ,NA       ,1,1719,21,23,229,298,37,7,6,21,3,3,5,1,0,29,7,5,18,2,3,5,1,0,True ,True ,True ,True ,True ,FALSE,True ,FALSE,318,229,298,1.3013,127,195,0.6056,101,0.3137,63,94,142,0.662,5
32347685,NA    ,NA       ,1,1719,10,0,38,53,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,True ,True ,11,38,53,1.3944,10,1,0.0909,0,0,0,0,0,0,0
32366732,male  ,NA       ,1,1719,1,1,25,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,True ,True ,True ,FALSE,49,25,80,3.1987,43,4,0.0851,3,0.0638,1,6,6,1,0
32372780,male  ,NA       ,1,1719,11,27,258,351,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,True ,FALSE,FALSE,FALSE,True ,FALSE,True ,FALSE,334,258,351,1.3604,275,59,0.1766,95,0.2844,78,66,197,0.335,4
32415387,NA    ,NA       ,1,1719,3,82,201,300,4,0,0,1,1,0,0,0,0,4,0,0,1,1,0,0,0,0,True ,True ,FALSE,FALSE,True ,FALSE,True ,FALSE,367,201,300,1.4925,340,27,0.0736,151,0.4114,27,195,236,0.8263,2
32469549,NA    ,professor,1,1719,60,137,202,374,3,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,True ,FALSE,FALSE,FALSE,True ,True ,True ,FALSE,1060,202,374,1.8514,1059,6,0.0056,203,0.1906,0,15,25,0.6,0
32514655,female,NA       ,1,1719,1,362,626,639,7,0,0,6,1,0,0,0,0,5,0,0,4,1,0,0,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,2980,626,639,1.0208,2474,493,0.1662,639,0.2154,107,231,463,0.4989,8
32539714,male  ,NA       ,1,1719,9,8,224,161,3,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,True ,True ,FALSE,FALSE,True ,True ,True ,FALSE,770,224,161,0.7187,746,23,0.0299,4,0.0052,8,39,48,0.8125,0
32543835,NA    ,NA       ,1,1719,17,6,56,73,11,0,2,7,0,0,2,0,0,8,0,2,4,0,0,2,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,True ,FALSE,49,56,73,1.3033,37,12,0.2449,11,0.2245,3,17,26,0.6538,0
32597734,male  ,NA       ,1,1719,3,0,94,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True ,FALSE,FALSE,FALSE,True ,FALSE,True ,True ,3,94,328,3.489,3,0,0,0,0,0,0,0,0,0
32628054,NA    ,NA       ,1,1719,13,1,89,348,3,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,True ,True ,FALSE,FALSE,FALSE,FALSE,True ,FALSE,128,89,348,3.9097,77,50,0.3937,7,0.0551,14,36,76,0.4737,0
