,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
cwilso         ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.02E+02,1.36E+03,6.69E+02,6.92E+02
imjuhokim      ,0.00E+00,8.00E+01,8.50E+01,7.20E+01,3.63E+02,2.70E+02,1.19E+02,1.96E+02,1.89E+02,1.27E+02,9.40E+01,5.00E+01,1.45E+02,3.01E+02
mhausenblas    ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.33E+03,9.16E+02
migueldeicaza  ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.21E+03
jacquette      ,0.00E+00,2.00E+01,0.00E+00,1.36E+02,0.00E+00,0.00E+00,0.00E+00,9.00E+00,1.60E+01,1.70E+01,5.00E+00,4.00E+00,2.00E+00,4.40E+01
anjchang       ,0.00E+00,8.00E+00,0.00E+00,0.00E+00,0.00E+00,3.80E+01,1.30E+02,6.70E+01,2.13E+02,1.68E+02,1.28E+02,2.53E+02,3.71E+02,1.56E+02
POrg           ,0.00E+00,3.60E+01,1.78E+02,1.43E+02,4.64E+02,2.83E+02,2.53E+02,1.83E+02,2.88E+02,2.50E+02,3.57E+02,2.41E+02,2.14E+02,3.03E+02
ehud           ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.13E+02,2.73E+03
LaBlogga       ,0.00E+00,7.00E+00,3.20E+01,1.56E+02,7.30E+01,6.40E+01,7.80E+01,8.50E+01,8.50E+01,4.80E+01,2.00E+01,6.00E+00,1.30E+01,5.00E+00
jcsmith        ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.97E+02,1.19E+02,1.10E+01,3.30E+01,2.40E+02,1.15E+02,8.14E+02,8.70E+02,2.26E+02
netik          ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.79E+02,1.18E+03,1.25E+03,1.79E+02,1.16E+02
Stimme         ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.79E+02,1.70E+03,1.33E+03
mojoneill      ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.75E+02,5.35E+02,6.74E+02,4.82E+02,4.27E+02,1.43E+02,3.90E+01,4.30E+01,6.00E+00
dvallet        ,0.00E+00,1.20E+01,1.00E+00,1.00E+00,0.00E+00,6.00E+00,3.10E+01,2.20E+01,9.00E+00,7.00E+00,9.00E+00,1.00E+00,5.00E+00,0.00E+00
avandale       ,0.00E+00,0.00E+00,0.00E+00,1.00E+00,9.00E+00,1.10E+01,7.00E+00,1.84E+02,1.00E+02,1.31E+02,2.20E+02,1.71E+02,1.17E+02,6.40E+01
spinuzzi       ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.94E+02,7.65E+02,7.80E+02,9.60E+02
mcdonald       ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.27E+02,1.26E+03,6.19E+02,2.34E+02,3.15E+02,2.50E+02
billhd         ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.66E+02,2.48E+03
zittrain       ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.71E+02,9.18E+02,9.06E+02,8.31E+02
EthanZ         ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.67E+02,2.28E+03
johnbuckley    ,0.00E+00,4.08E+02,1.78E+02,1.42E+02,4.80E+01,1.00E+01,8.00E+00,4.00E+00,4.00E+00,8.00E+00,1.70E+01,2.10E+01,1.00E+00,3.00E+00
marika75       ,0.00E+00,3.32E+02,3.60E+02,2.05E+02,2.69E+02,2.34E+02,3.12E+02,2.52E+02,1.73E+02,3.00E+01,1.00E+00,3.00E+00,2.00E+00,4.00E+00
johnstonfilm   ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.00E+00,1.00E+00,2.70E+01,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
bentley79      ,0.00E+00,9.00E+00,5.00E+00,4.00E+00,5.40E+01,3.30E+01,4.70E+01,6.20E+01,1.01E+02,5.00E+01,4.90E+01,4.80E+01,4.80E+01,4.40E+01
